party,lovforslaget + lovforslag + statsministeren + aftale,ældre + læger + arbejdsmarkedet + patienter,islam + muslimske + syrien + muslimer,co2 + cigaretter + afgift + cannabis,naturen + naturnationalparker + vacciner + biodiversitet,køn + racisme + mænd kvinder + arbejdsmarkedet,kunstakademiet + kunstneriske + bestyrelser + kulturen,kød + forbrugerne + fødevarer + religiøse
ALT,45,20,4,46,18,3,0,0
DD,3,1,1,3,0,0,0,0
DF,373,96,163,60,40,29,4,9
EL,238,111,80,91,49,39,5,0
FG,39,3,12,6,9,5,1,0
IA,2,0,1,0,0,0,0,0
KD,36,9,12,2,0,1,2,0
KF,200,49,54,45,29,9,5,2
LA,79,33,23,50,9,14,6,0
M,1,1,0,1,0,0,0,0
NB,177,39,100,60,17,42,0,7
RV,244,51,47,57,29,20,10,5
S,668,263,170,172,177,48,29,9
SF,197,118,55,70,40,35,9,2
SIU,3,0,0,0,1,1,0,0
SP,3,0,2,0,0,0,0,0
UFG,63,11,26,9,15,20,5,0
V,507,86,63,91,74,30,11,2
